"","Primary","Secondary","IM_101_Cut","BL1_Corr","BL2_Corr","M_Corr","LAR_Corr","MSL_Corr","IM_101_Corr","BL1_Cut","BL2_Cut","M_Cut","LAR_Cut","MSL_Cut"
"ACH.000857","MSL","ND","0","-0.117358322177599","0.123039583809493","0.00651930214081257","0.0834884252456982","0.249877559016554","0.0459180897029854","0","0","0","0","1"
"ACH.001129","BL2","ND","1","0.0215387294435193","0.367878016129559","-0.303947497306298","-0.0458092532732556","-0.154232104570042","0.304034566450082","0","1","0","0","0"
"ACH.001619","M","MSL","0","-0.056018110381907","-0.227566090921953","0.275562956432777","0.0272852929332506","0.253795670486825","-0.221645389144655","0","0","1","0","1"
"ACH.000184","MSL","ND","0","0.0649862321916392","-0.240191116770606","0.0453739075543366","-0.0846856259727256","0.413175738183085","0.143609669028417","0","0","0","0","1"
"ACH.000329","MSL","ND","0","-0.217117793667897","0.0476812398646075","0.107062395925164","0.0392573002035241","0.313786310553869","-0.189386271372754","0","0","0","0","1"
"ACH.001569","ND","ND","0","0.00732469172081279","-0.362000848924152","0.0807457472165083","0.040215060785146","0.14585169948085","-0.0354480251629826","0","0","0","0","0"
"ACH.000814","LAR","ND","0","-0.02486912419325","0.0201673904289244","-0.190692308529511","0.21354795877276","-0.00133868808567604","0.147614849642472","0","0","0","1","0"
"ACH.001701","ND","ND","0","0.194501583570053","0.0285477955181158","-0.0941326280732687","-0.158150216040313","-0.0946332756500256","0.125782261838683","0","0","0","0","0"
"ACH.000197","MSL","M","0","-0.120775786071114","-0.181049400855454","0.283682154090617","-0.0755651331613718","0.357320882445772","-0.188450278077078","0","0","1","0","1"
"ACH.000545","BL2","ND","0","-0.0735190082824523","0.44793809383877","-0.120057465634897","0.00173049923270317","-0.227957902068981","0.0480948182975806","0","1","0","0","0"
"ACH.000949","ND","ND","0","0.0226706283127088","-0.410389525582003","0.097180048105702","-0.0504674524656893","0.175520510225183","-0.0346208682970364","0","0","0","0","0"
"ACH.000124","MSL","ND","0","-0.179373319837616","-0.0426965313829845","-0.00778180472567778","0.181941859579238","0.254078645204123","-0.0342725917219012","0","0","0","0","1"
"ACH.000560","BL2","ND","0","-0.134032063212198","0.29667722380035","0.0189484224159511","-0.0260445576343314","-0.0656174834840718","-0.0971147462478641","0","1","0","0","0"
"ACH.000897","ND","ND","1","0.181049400855454","-0.0275029657927101","-0.235010502715469","0.00390722782729835","-0.276281276868994","0.214766926785734","0","0","0","0","0"
"ACH.001626","ND","ND","0","0.0473982651473101","-0.104863900044623","0.128372568866251","-0.116444096167869","0.0143119905094633","-0.117684831466789","0","0","0","0","0"
"ACH.000619","LAR","ND","0","-0.0490308115932565","-0.106583515634353","-0.102099454729487","0.219011547545194","0.0396491113505513","0.0486390004462294","0","0","0","1","0"
"ACH.001973","M","ND","0","0.172864901339776","-0.315310020570085","0.239363959904659","-0.0620258813029897","-0.0653998106246123","-0.129743907880846","0","0","1","0","0"
"ACH.001340","BL2","ND","0","0.106561748348407","0.326237198114953","-0.179547458125184","-0.11692297645868","-0.363459257082531","0.169708644877613","0","1","0","0","0"
"ACH.000546","BL2","ND","1","0.090824000609484","0.296829594801972","-0.378391615241454","0.155864651015988","-0.581262720257725","0.225824708046277","0","1","0","0","0"
"ACH.001709","LAR","ND","0","-0.0571282419651506","-0.228567386075467","-0.118838497621924","0.27619420772521","0.180418149563022","-0.0301368073921703","0","0","0","1","0"
"ACH.002018","LAR","ND","0","-0.163200226379774","-0.114963920723545","-0.175498742939237","0.464524765729585","-0.103884372177055","-0.0202762268586541","0","0","0","1","0"
"ACH.000153","BL2","ND","0","-0.121842383082465","0.485334291093915","-0.0875806750035372","0.0257833502029799","-0.335705967501442","-0.00397252968513621","0","1","0","0","0"
"ACH.000526","ND","ND","0","0.138211382113821","-0.16322199366572","-0.0123094002024358","0.033010089137036","0.103383724600298","0.0363622511727125","0","0","0","0","0"
"ACH.000116","ND","ND","0","0.0493790881683917","0.0701886135327217","-0.151576495684636","0.0122658656305439","-0.155189865151664","0.103166051740839","0","0","0","0","0"
"ACH.000815","ND","ND","0","-0.176587107236534","0.166160577268423","0.115333964584626","-0.0106986210424353","-0.106866490351651","-0.258170894961962","0","0","0","0","0"
"ACH.001270","ND","ND","0","0.100924021288406","0.156735342453826","-0.0323570705586574","-0.180635822422481","-0.0671847280721803","0.129548002307332","0","0","0","0","0"
"ACH.000324","MSL","ND","0","-0.118250780901383","0.00338481296459551","0.120188069350573","0.0293967196700079","0.395217727277674","-0.0353827233051447","0","0","0","0","1"
"ACH.001561","ND","ND","0","0.0869711909970505","-0.28329034294359","0.0032977438208117","-0.0209510127229786","0.0178818254045994","0.0788302260532645","0","0","0","0","0"
"ACH.000842","ND","ND","1","0.190605239385727","0.0801362632100217","-0.17408386935275","-0.233748000130604","-0.147527780498689","0.218010252391681","0","0","0","0","0"
"ACH.000898","ND","ND","0","-0.02395489818352","0.168446142292748","-0.149552138091662","-0.018991956987843","0.126544116846791","0.158302587041935","0","0","0","0","0"
